tag,ratings
x wing,3.5
x men,2.8333333333333335
wyatt earp,3.0
wy,5.0
www.thestopbutton.com,4.0
wwii,3.625
wwf,1.0
wwII,3.3333333333333335
ww2,3.0
wuxia,3.652542372881356
wushu,3.5
wurstsalat,4.0
wuerzburg,5.0
wu tang,4.0
wtf?!,5.0
wtf?,4.0
wtf ending,3.5
wtf,3.2857142857142856
wry,3.349557522123894
wrongly convicted,3.0
wrongly accused,3.7265625
wrongfully funny,2.0
wrongful imprisonment,3.676470588235294
wrong. so wrong,3.5
wrong side of the tracks,4.5
wrong morals,1.0
wrong accents,3.5
wrong,4.666666666666667
written epilogue,4.0
written by a 14-year-old boy,5.0
writing process,3.3181818181818183
writing,3.6884057971014492
writers block,3.5
writers at work,3.3421052631578947
writers,3.483695652173913
writer:Robert Benton,1.0
writer:Michael Crichton,3.0
writer:Julian Fellowes,3.8333333333333335
writer:David Mamet,4.5
writer:Andrew Lloyd Webber,5.0
writer: Neil Simon,2.0
writer-director,4.5
writer's script,2.5
writer's process,1.0
writer's life,4.5
writer's block,1.75
writer biography,2.0
writer as protagonist,3.125
writer,3.5
wrist watch,3.875
wrings the emotions too much,4.0
wretched,4.75
wrestling,3.225
wrath,5.0
wow!,3.0
wow - so much better than Constant Gardener...,4.0
wow,5.0
wouldn't see again,3.1666666666666665
would you please let them tell the joke?,2.0
would see again,3.75
would kill not to watch,1.6666666666666667
would have been better if I hadn't read the book,4.0
worthwhile,3.5
worth watching,3.75
worst thing,3.5
worst superhero,2.0
worst sex scene,2.0
worst sequel to an already bad movie,4.0
worst plot,3.5
worst of series,4.0
worst movies ever,3.0
worst movie of this year,1.0
worst movie ever!,3.0
worst movie ever,4.0
worst films ever,4.5
worst ever,3.3333333333333335
worst ending ever,3.9166666666666665
worst documentary ever,3.0
worst denzel movie ever,3.0
worst animated flick ever,4.5
worst acting,2.75
worst Disney movie,4.0
worshipful,3.0
worse than the show,3.1666666666666665
worse than the book,2.857142857142857
worse than previous films,3.0
worse than predecessors,3.0
worse than expected,3.5
worse than book,3.5
worse than Michael Moore,3.0
worse book,3.0
worried mother,1.0
worn-out,3.5
worn out story,4.0
wormhole,3.4193548387096775
world's fair,5.0
world within a world,3.0
world war ii,3.611111111111111
world war III,5.0
world war II,3.5625
world war I,3.25
world war 2,3.5
world tour,4.5
world record,4.4
world politics,3.8666666666666667
world inside another world,3.6
world end,3.5
world,3.0
workplace,3.5872093023255816
workout,4.0
working women,4.0
working sucks,3.5
working poor,4.5
working conditions,5.0
working class,3.6454545454545455
workers,3.1666666666666665
workaholic,4.071428571428571
work camp,4.0
work,4.0
words cannot explain how horrid this is,3.25
wordplay,5.0
wordless,3.3
word play,3.0
word game,3.25
woody allen is a terrible person,3.5
woody allen,3.5
woodworking,3.5
woodstock,3.0
woods,3.375
wooden laptop,4.0
wooden delivery,1.0
wooden acting,3.0
woo,4.0
wong kar-wai,5.0
wong kar wai,2.0833333333333335
wong jing,3.5
wonderfully warm and amusing,3.625
wonderfully dark,3.0
wonderfully convoluted story,4.0
wonderful thoughts,4.0
wonderful surprise movie,4.0
wonderful light touch,2.8333333333333335
wonderful child,3.0
wonderful,3.75
wonder,3.25
won bin,3.0
womens cunning,2.75
women's rights,3.5
women's lib,3.3684210526315788
women's auxiliary corps (Lotta),1.0
women portrayed as slutty and stupid,3.0
women movies vs men movies,3.0
women japan world war w,4.5
women in the workplace,4.5
women in sport,3.5
women in refrigerators,0.5
women in publishing,3.0
women in prison,3.5
women disguised as men,3.7142857142857144
women as sexual objects,4.0
women,3.3710691823899372
womanizing,3.25
womanhood,4.5
woman outsmarts man,3.0
woman lead,4.125
woman in bathtub,3.0
woman in armour,3.5
woman hater,4.0
woman disguised as men,5.0
woman carried onto tall building,4.4
woman as a main character,2.0
woman - man friendship,3.1666666666666665
woman,3.0
wolves are evil,2.0
wolves,3.12
wolverine cameo,3.0
wolverine,3.090909090909091
wolfs,2.0
wolf pack,1.0
wolf,4.0
wobbly camerawork,1.5
wizards,3.5301204819277108
wizard of oz,5.0
wizard,4.5
wixom library,3.0
wity,5.0
witty!,3.5714285714285716
witty lines,3.0
witty dialogues,3.5
witty dialogue,3.357142857142857
witty,3.5640243902439024
witness to discrimination,4.5
witness protection programme,3.75
witness protection,4.0
witness,4.25
witless,3.0
without romance,3.857142857142857
without any especial new!,4.0
without annoying montages,2.0
without Martha,2.5
with no payoff for sitting through it.,4.0
with SB as Odysseus?,5.0
witchhunts,2.5
witches,3.0694444444444446
witchcraft,2.9375
witch hunt,4.0
witch,3.659090909090909
wit,4.0
wistful,3.6
wissenschaftliche sci-fi,4.333333333333333
wissenschaftler,3.5
wishful,3.0
wishes,3.0
wisecracking characters,3.5
wisecrack humor,3.0
wise guys,3.5
wisdom,2.9166666666666665
wisconson,3.0
wirework,4.1
wired 50 greatest soundtracks,3.4382716049382718
wire walker,3.0
wipes nose with hand repeatedly!,3.0
wintry,3.3981481481481484
winter scenes,1.0
winter,3.3333333333333335
winston,2.5
winona ryder,3.6
winnings,5.0
winning,3.5
wings of freedom,4.0
wing chun,2.5
winery,3.3333333333333335
wine tasting,4.0
wine and romance,3.9166666666666665
wine,3.75
wind,4.0
wincest,3.0
wilson,4.25
willpower,4.666666666666667
william shatner,3.75
william s. burroughs,3.75
william goldman,1.8333333333333333
william gibson,4.0
william castle remake,4.5
william burroughs,4.0
willem defoe,5.0
willem dafoe,4.125
will wheaton,5.0
will to survive,5.0
will smith,3.6
will power,5.0
will not like,3.5
will like,3.3333333333333335
will leave you feeling suicidal,3.0
will keep you away from the water,4.5
will ferrell = nazi,2.5
will ferrell,3.869565217391304
will ferrel,3.3333333333333335
will fe,3.5
will farrel,3.5
will farell,4.0
will dislike,2.5
will (law),5.0
wilhelm,3.25
wilford brimley beaten to death,1.5
wildly overrated,4.333333333333333
wildlife,3.6
wilderness,3.4296875
wild west,3.8333333333333335
wild child,4.5
wild boar,4.0
wild at heart,2.0
wild animal,5.0
wild and fresh,4.25
wikus,2.0
wikilens top pick,3.9166666666666665
wig,3.0
wife swapping,3.75
wierd story,3.5
wierd love,3.0
wierd for the sake of it,3.5
wierd,3.6
widows/widowers,3.5294117647058822
widowhood,3.5
widower,4.1
widow to remarry,4.5
widow,5.0
widespread cellphone-based surveillance,2.0
wide spectrum of emotions,4.5
wide range of experts,3.5
wicca,3.5
why?,3.25
why's this rated R? good though,3.0
why was he taking speed?,3.0
why the terrorists hate US,3.5
why the hell anyone would like this movie?,2.5
why militant islam is so scary,4.0
why god why,2.5
why god,4.0
why everyone hates the US,1.5
why don't koreans or mexicans come to the US to adopt children?,4.0
why do they make good shows into bad movies?,4.5
why do i hate this?,3.5
why did it have to be snakes?,3.3333333333333335
why a sequel?,3.5
whose neighbors?,5.0
whores,4.5
whorephobia,4.25
wholseome,4.0
wholesome,4.125
whodunnit,3.5
whodunit,3.8125
who to trust?,3.0
who threw the last knife?,2.0
who thought this was a good idea?,4.5
who thought of this?,4.0
who the hell listens to this crap?,5.0
who done it,3.9166666666666665
who cares DVDs,3.5434782608695654
whitney houston,5.0
whitewater,3.0
whitewash,5.0
white washing,4.0
white trash,3.5
white squall,3.0
white slavery,3.3333333333333335
white shirts,3.3333333333333335
white race,4.0
white queen,4.0
white priviledge,4.0
white people,3.75
white lie,5.0
white house,3.0
white hair,4.5
white guy with Jamaican/Caribbean accent,2.3333333333333335
white guilt,3.4
white collar gangstas,5.0
white collar crime,4.0
white,3.5
whit stillman meets diner,5.0
whit stillman meets Diner,5.0
whistling,3.6666666666666665
whistleblower,4.0
whistle,3.5
whisky,2.0
whiskey,3.611111111111111
whipping,3.6
whip,3.5
whiny kid,4.0
whiny,3.8333333333333335
whiney protragonist,5.0
whiney protagonist,3.25
whiney,3.25
whimsical irreverent,3.0
whimsical,3.520100502512563
whim,3.5
which historical person is gonna be next?,4.5
where is the one and only kyle maclachlan?,4.0
where exactly is the suspense?,3.5
where did that tribble come from,1.0
when watched in your teens.,2.0
when travolta was thin,3.0
when did Rupert Grint become a man,3.3333333333333335
wheelchair rugby,4.0
wheelchair badass,3.5714285714285716
wheelchair,3.338235294117647
wheel chair,1.5
wheat,3.0
whatever,4.0
what?,4.0
what's this about?,3.5
what's the point?,4.25
what you do not what you say,3.0
what was with the deer?,4.5
what to say about god?,3.5
what the hell was that?,3.75
what the fuck?,4.333333333333333
what the fuck did i just watch,3.5
what is with Robert's bangs in this movie?! GRR,4.25
what is going on,3.0
what if...,3.4
what if,5.0
what happened to melanie griffith?,3.5
what does it mean to be human,1.0
what cinema is supposed to be,4.5
what are you stuffed with?,4.0
what an ending,4.0
what a way to waste 2 hours!!!,3.0
what AVP should have been,3.0
whales,3.566666666666667
whale,2.0
whacky weapons,4.5
westernization,4.333333333333333
western comedy,1.5
western animation,1.5
western,3.503448275862069
west wirginia,3.0
west virginia,3.0
west,5.0
wes craven thriller,3.0
wes craven,3.0
wes anderson,3.142857142857143
werner herzog,4.5
werewolves,3.510948905109489
werewolf,3.55
wendy o williams,3.0
wendigo,3.0
welsh,4.5
welles,4.0
well...I liked it...,1.0
well-written,3.25
well-shot,5.0
well-made,2.1666666666666665
well-heeled family,3.0
well-done time travel,3.25
well-done,4.0
well-directed,2.5
well-developed characters,5.0
well-crafted dialog,5.0
well-crafted,4.0
well-constructed,3.5
well-cast,3.0
well-acted and thought-provoking,3.5
well-acted,3.6666666666666665
well written and structured,4.0
well written,3.142857142857143
"well worth watching this amazing ""horse whisperer""",5.0
well transformed from manga to live action,4.5
well scripted,4.0
well plotted,4.5
well paced,4.0
well made stupid schlock,3.0
well made for low budget,0.5
well made,3.0
well intentioned,2.6666666666666665
well filmed,5.0
well edited,4.0
well done with new cast,3.0
well done,3.1739130434782608
well constructed,3.625
well choreographed,4.0
well cast,4.375
well acted,3.9
well,3.0
welfare,3.3333333333333335
weirdtopia,3.0
weirdos are okay,3.0
weirdest episode of Frasier ever,1.5
weirder than the Tim Burton version,5.0
weird.,5.0
weird!,5.0
weird visuals,5.0
weird technique,4.5
weird story,4.0
weird presentation,4.0
weird pacing,4.4
weird love,3.25
weird japan,2.25
weird humour,4.0
weird greek cinema,3.0
weird ending,3.4285714285714284
weird characters,2.0
weird but good,5.0
weird animation,3.6666666666666665
weird and gross,0.5
weird,3.521176470588235
weihnachtsfilm,4.5
weightlessness,3.0
weepy,3.0
weekend,3.5
week history,4.5
week,4.0
weed,3.647727272727273
wednesday,4.0
weddings,3.5925925925925926
wedding theme,3.8333333333333335
wedding reception,3.75
wedding ceremony,2.0
wedding,3.4813432835820897
website,0.5
web of lies,2.25
weatherman,4.0
weather reporter as protagonist,3.2857142857142856
weather forecaster,1.8333333333333333
weather,3.433333333333333
weaponsmith,4.0
weapons industry,3.5555555555555554
weapons,3.4166666666666665
weapon choreography,3.3333333333333335
wealth,3.3333333333333335
weakest in the series,3.75
weak writing,2.875
weak villain,4.0
weak twist,4.5
weak third act,3.2
weak story,3.58
weak special effects,4.0
weak sequel,3.0
weak secondary characterss,4.5
weak script,4.5
weak screenplay,3.1666666666666665
weak scenes,4.0
weak romantic movie,4.0
weak remake of series,4.25
weak plot twist,4.75
weak plot,3.586206896551724
weak pacing,3.5
weak middle,3.0
weak humor,1.0
weak framing narrative,2.5
weak female lead,4.0
weak female characters,4.0
weak female character,2.0
weak ending,3.560810810810811
weak editing,3.6666666666666665
weak direction,2.0
weak directing,3.5
weak dialogue,3.642857142857143
weak dialoges,3.125
weak comic book adaptation,3.5
weak choices overall,4.0
weak characters,3.7045454545454546
weak character development,3.5
weak cgi,4.0
weak acting,3.5
weak,3.4375
we've seen this before,3.5
we need a bigger boat,4.0
we have a problem,4.5
we get the point. Old people become outhful again. Great idea,4.0
we don't need no stinkin badges,3.5
we can do this easy or we can do this reeal easy it's called magic hour,4.0
we are glad you took the red pill,3.0
we are all connected. it's not my life or your life it's all life. stop being afraid and hating the unknown. smile and make eye contact.,3.875
way way way overrated,2.5
way way too sad,0.5
way too much action,4.0
way too long,3.142857142857143
way overrated,3.5
way over the top,1.75
way of life,2.75
wax on wax off,3.5
wax museum,3.5
wax figures,2.5
wave,4.5
waterfall,3.0
watered down,3.875
waterboarding,4.166666666666667
water polo,2.5
water,3.5217391304347827
watching TV,4.0
watched under duress,3.25
watched it for the boobs,3.7142857142857144
watched every year,1.0
watched as kid,1.0
watched 2008,4.0
watched 2007,3.6346153846153846
watched 2006,3.789473684210526
watched 2005,3.857142857142857
watched 2004,1.0
watched 2002,4.0
watched 2000,4.5
watched 1999,3.5
watched 1998,3.75
watched 1997,5.0
watched 1995,3.25
watched 1994,2.0
watched (1997),3.0
watched,0.5
watch-fully,3.0
watch-again,3.736842105263158
watch the credits,3.5728476821192054
watch it with the lady,4.0
watch it more than once,1.0
watch fully awake.,1.0
watch for a good metaphor or two,4.0
watch at double speed,2.0
watch again before hating,3.25
watch again,3.5
watch Days of Being Willd first,2.5
watch,3.7580645161290325
wastes every oportunity to be memorable,3.0
wasted villain,4.0
wasted premise potential,3.75
wasted potential,3.75
wasted life,4.25
wasted characters,3.875
wasted cast,5.0
waste of time and money to see this,3.25
waste of time,3.316666666666667
waste of life,4.0
waste of celluloid,3.6363636363636362
waste of Marian Cotillard's talent,5.0
waste of 95 minutes,3.0
washington d.c.,3.5
washed up,3.3333333333333335
washed out writer,2.5
wash,2.0
was a made up love story. Not even close to the truth,4.0
warwick davis,3.0
wartime,3.7205882352941178
wars,4.0
warriors,3.7
warpigs,4.0
warped sense of humor,3.5
warning:misleading trailer,4.0
warning:homophobia (mild),4.0
warning:homophobia,3.5
warning: some people tryed to kill themselves while watching,3.5
warmongering,4.25
warmonger,4.0
warm-hearted,3.8333333333333335
warm,3.522727272727273
warlord,3.5
wargs,4.0
warfare,4.0
warehouse,3.5
war zone,1.5
war widow,2.0
war ugliness,3.75
war tactics,4.75
war strategy,3.0
war protest,2.0
war profiteering,5.0
war prisoners,5.0
war planes,3.0
war pilots,0.5
war parody,3.0
war on drugs,4.0
war of the sexes,0.5
war movie,3.316666666666667
war journalism,4.25
war is bad,4.0
war hero,3.0
war games,5.0
war drama,3.25
war crimes,3.642857142857143
war and politics,4.0
war,3.55625
wapendrama,1.0
wanttosee,3.0
wants to be something it isn't,4.0
wanting to be a writer,3.0
wanted to smack those kids,2.25
wanted to see action movie not porn,3.5
wanted poster,5.0
wanted more San Juan flavor,4.0
want to see again!,3.0
want to see again,3.546979865771812
want to see,2.611111111111111
want to punch them in the face,3.0
want to own,3.7195121951219514
want to buy,3.8333333333333335
want it,3.1538461538461537
wannabe-funny,4.0
wannabe mystery,4.5
wannabe Jumanji,3.0
wanna-be gangters,3.5
wang xiaolu,3.0
wandering,4.125
waltz's character was same with his inglourious basterds character.,4.0
waltz's acting was ok.,4.0
waltz,2.0
walter brennan,1.0
walt disney,4.166666666666667
walrus,0.5
wallows in violence,4.25
wall street,4.0
wall,3.0
walken,4.0
walked out during screening,5.0
wales,3.8333333333333335
waking up,4.0
wake up,4.0
waitress,3.6666666666666665
waiter,3.0
waif-fu,3.75
wade davis,4.5
wacky scientist,3.6666666666666665
wacky crime,4.0
wacky,3.857142857142857
wachowski bros.,4.0
w00t,4.0
w/e,2.3333333333333335
vÃ¦ska,4.0
vw bugs,5.0
vw,3.0
vulnerability,3.5
vulgar,3.2777777777777777
voyeurism,3.4702380952380953
voyage,4.0
vow of silence,3.1666666666666665
vougiouklaki,4.0
voto de castidade.,3.5
voters,3.3333333333333335
vote for pedro,4.5
vortex,2.8333333333333335
voodoo zombies,3.0
voodoo doll,2.0
voodoo,3.55
vontatott,4.0
vonnegut,3.5
von Trier,4.0
von Bulow,3.0
vomiting,3.5
vomit-inducing,4.0
vomit,3.642857142857143
volume for drama,5.0
volleyball,4.5
volkswagen,3.0714285714285716
volcano,3.7777777777777777
volcanic eruption,5.0
void,1.0
voiceover,3.375
voice-over,5.0
voice over narration,4.5
voice over montages,3.3333333333333335
voice over,4.0
voice acting,3.6
vogue-ing,3.25
vodo.net,2.0
vocalists,3.4722222222222223
vocabullary,4.0
vladimir nabokov,3.3333333333333335
vivid characters,4.0
vivid,3.1666666666666665
vivacious,3.625
viva violence,3.0
visuals,3.4302325581395348
visually unappealing,3.0
visually stylish,3.25
visually stunning,3.509966777408638
visually stuning,4.0
visually striking,4.0
visually pleasing,4.0
visually inventive,3.25
visually interesting--that's about it,3.2058823529411766
visually interesting,2.5
visually flat,4.5
visually dynamic,3.5
visually captivating,4.0
visually appeling,4.0
visually appealling,3.0
visually appealing,3.5076209410205434
visually,4.5
visual trickery,4.0
visual style,2.642857142857143
visual pun,3.0
visual narrative,4.0
visual glamour,3.0
visual effects,3.661764705882353
visual design,2.5
visual arts,3.0
visual appealing,3.0
visual aesthetic,4.0
visual,3.5491803278688523
vistas,1.5
vista vision,3.75
visitor,2.0
visionary,3.5
vision,3.6666666666666665
visceral,3.358447488584475
visaully appealing,5.0
virus outbreak,4.2
virus,3.4956521739130433
virtuous,3.75
virtual-reality,3.75
virtual reality,3.552380952380952
virtual life,4.5
virtual,3.0
"virkelig tight fortalt. fede miljøer, fantastiske karakterer, godt plot",4.0
virginity,3.324074074074074
virginia,3.5
virgin sacrifice,4.5
virgin,2.5
virgen,3.0
violin,3.7
violently stupid,2.85
violently silly,4.0
violently,0.5
violent youth,4.0
violent yet uplifting,3.6
violent silly,4.5
violent disturbing,3.375
violent,3.514689265536723
violencized sex,3.0
violence.,4.5
violence pornography,4.0
violence in america,3.09375
violence fiction,4.0
violence against women,3.0
violence against tyres,4.0
violence - too much for me!!,1.5
violence - Jennifer Connelly!!!!,5.0
violence,3.5276946107784433
violante placido,1.0
viola davis,3.75
vinyl,3.5
vinyeard,4.25
vintage effects,1.5
vintage,4.0
vinnie jones,5.0
ving rhames,4.333333333333333
vindictive,3.75
vincent price,4.5
vincent,4.0
vinceVaugh,2.5
vince vaughn,4.142857142857143
vince papale,4.0
vin diesel,4.0
vimeo-on-demand,2.0
vimeo,5.0
villian hurts toys,4.0
villainizes Max Baer,3.5
villain:Two-face,4.5
villain:The Scarecrow,4.0
villain:The Joker,3.5
villain:Penguin,4.0
villain:Jaws,3.5
villain's plan is stupid,3.0
villain with southern accent,4.0
villain steals the show,4.125
villain protagonist,4.0
villain nonexistent or not needed for good story,3.3472222222222223
villain is a pushover,5.0
villain has no motive,4.25
villain gets no comeuppance,3.0
villain evil beyond credibility,4.333333333333333
villain as hero,4.1
villain,3.727272727272727
village,3.55
villa,3.75
vikings,3.6382978723404253
viking's mythology,3.25
vignettes,3.6
vignette,3.0
vigilatism,5.0
vigilantism,3.442622950819672
vigilante justice,3.9
vigilante,3.609375
viggo morttensen,4.0
viggo mortensen,3.3
viewer exploitation,5.0
view on society,3.25
view askew,3.5754716981132075
vietnam war based movie,3.9166666666666665
vietnam war,3.6346153846153846
vietnam,3.0416666666666665
vienna,3.5833333333333335
viegla jauka filmiÅ†a,4.166666666666667
viegla jauka filmiÃ…Â†a,3.0
videotape,3.7142857142857144
videogame like,3.138888888888889
videogame,3.6153846153846154
videodrome did it better,3.75
video tape,3.5
video surveillance,3.1
video store,3.75
video only,3.8
video games,3.6641791044776117
video game testers,3.357142857142857
video game like,3.6666666666666665
video game connection,0.5
video game adaptation,3.4703703703703703
video game,3.8055555555555554
video diary,5.0
video debut,2.0
video camera,3.3666666666666667
video,4.25
victory,4.0
victorian,3.0
victim,3.0
vicissitude,3.0
vica kerekes,1.0
vibrator,2.5
vibrant colors,3.5
vibrant,3.5
vhs effect,1.0
vhs,3.5057471264367814
veterans,3.5
veteran,4.5
very worthwhile,3.5
very well made,4.25
very well done,3.75
very violent,3.5
very unrealistic,4.0
very thrilling,2.0
very surprising in the end,3.0
very strange,5.0
very straight forward story,3.0
very smart movie,1.0
very slowpaced,2.0
very slow,3.3
very scary imagery,4.0
very scary,3.0
very sad,3.1666666666666665
very real-looking,3.8333333333333335
very quotable,3.5
very predictable,4.5
very powerfulll..; tom hanks very big...,4.0
very original,3.0
very nice animation,4.0
very nice,2.0
very moving,3.0714285714285716
very long,3.5
very little dialogue,3.9705882352941178
very interesting,3.5
very intense,3.75
very hard movie,3.5
very good!,5.0
very good thriller - Brad Pitt,3.0
very good thriller,5.0
very good for kids and adults,3.0
very good for kids,4.1
very good edition,5.0
very good chick flick,4.0
very good but the first was better,1.25
very good,3.5757575757575757
very girlish,4.375
very funny!,3.875
very funny,3.3369565217391304
very estrange,4.0
very emotional true story. very eye opening.,4.0
very dumb,3.1666666666666665
very dark - not for kids,5.0
very creepy,4.0
very cool flick,3.0
very cool ending,3.0
very clever,3.6923076923076925
very boring parts,3.5
very boring,3.7142857142857144
very bad,3.6666666666666665
very artistic,4.5
very Hollywood,4.0
vertriloquism,4.0
vertigo,2.5
vertically challenged people,2.8
verse,2.5
verry disapointing,4.5
veronica sawyer smokes,2.5
verona,2.75
vermont,2.0
verlan,5.0
verite,2.0
verisimilitude,2.75
verging on self-parody,4.5
verbose,4.0
veracity,5.0
venture,3.0
ventriloquist,3.95
venice beach,5.0
venice,3.0
vengence,3.7
vengeful spirit,2.909090909090909
vengeance,3.45625
vendetta,3.9
veil,3.75
vehicles,3.75
vehicle:motorized monocycle,3.25
vehicle:car,3.5
vehicle,3.5
vegetarians,3.7142857142857144
vegetarian,4.0
vegas,2.9
vegan,3.625
vector graphic,4.0
vday,2.90625
vcr in clpgh,3.5
vault,4.5
vaudville,2.5
vaudeville,2.5
vatican,3.5
vasted potential,2.5
vasilis avlonitis,3.0
various peoples' hair,4.0
variety show,2.3333333333333335
variety of camera techniques,2.5
variations on a theme,3.75
vapid,2.8333333333333335
vanxo,3.0
vanity project,3.0
vanity,4.0
vanessa paradis,3.0
vanessa l. williams,4.0
vanessa hudgens,3.5
vandalism,5.0
vancouver,4.0
vampires... beautifull kate in tight outfit. who needs more? :D,1.0
vampires shine!!,4.25
vampires fail,2.0
vampires do not sparkle,3.5
vampires,3.473345588235294
vampire in name only,3.5
vampire,3.571759259259259
value of equality,3.0
value of art objects,4.5
valeria bertuccelli,4.0
valentine's day,3.5
val kilmer,3.1136363636363638
vaguely embarrassing 70s take on sex,5.0
vague statistics,3.0
vague ending,3.5
vague,4.5
vagina dentata,4.25
vagabond,3.5
vacuum cleaner salesman,3.0
vacation gone wrong,5.0
vacation,3.909090909090909
vVin Diesel,1.0
utterly predictable ensemble flick,3.0
utterly predictable,3.0
utterly pedestrian cinematography,3.0
utterly fails to do justice to the book,3.0
utter shit,4.0
utrolig flot. meget simpel. den starter desværre en del bedre end den slutter synes jeg.,4.0
utopia,3.6710526315789473
utilitarianism,4.5
utah,3.2142857142857144
using real names,3.6666666666666665
useless weapons,5.0
useless use of violence,4.0
useless,3.7142857142857144
useful,4.0
used to not like this,5.0
used before footage,4.0
use of music,3.3333333333333335
usa propaganda,4.0
usa government,5.0
usa,4.0
us navy,2.75
us glorification,5.0
us culture,3.6666666666666665
uruguay,3.5
urlaub,3.5
urine drinking,4.0
urination,3.75
urbane,3.520408163265306
urban/rural tension,2.0
urban violence,3.5714285714285716
urban life and every day stupid funny things you see.,4.0
urban legends,2.75
urban legend,2.5
urban fantasy,5.0
urban,3.9827586206896552
uranium,2.5
upstairs-downstairs,4.0
upsetting,3.5
uprising,2.1
upper west side,4.0
upper class,3.175
uplifting and compelling,3.375
uplifting,3.630434782608696
updated noir,4.25
updated classics,3.4473684210526314
updated class,1.0
updated Shakespeare,4.5
upbringing,3.5
upbeat music,3.25
upbeat,3.6515151515151514
up its own ass,3.0
unwed mother,3.6666666666666665
unwatchable sadism,4.125
unwatchable,3.7
unwanted kiss,4.0
unusual- friendships,3.0
unusual story,4.0
unusual plot structure,3.85
unusual love story,4.0
unusual editing,3.9285714285714284
unusual,3.5657894736842106
untruthful,4.0
untrustworthy narrator,4.0
untrustworthy female,3.5
untrue to book,4.25
untold stories,5.0
unthrilling,2.0
